accession,accession_clean,entity_name,cik,form,filing_date,source_file,text_file,word_count,doc_url
0001193125-24-139394,119312524139394,AFS SENSUB CORP.,1347185,424H,2024-05-15,AFS_SENSUB_CORP__2024-05-15_424H.htm,AFS_SENSUB_CORP__2024-05-15_424H.txt,95876,https://www.sec.gov/Archives/edgar/data/1347185/000119312524139394/d679938d424h.htm
0001193125-24-169068,119312524169068,AFS SENSUB CORP.,1347185,424H,2024-06-26,AFS_SENSUB_CORP__2024-06-26_424H.htm,AFS_SENSUB_CORP__2024-06-26_424H.txt,102449,https://www.sec.gov/Archives/edgar/data/1347185/000119312524169068/d792078d424h.htm
0001193125-24-231284,119312524231284,AFS SENSUB CORP.,1347185,424H,2024-10-02,AFS_SENSUB_CORP__2024-10-02_424H.htm,AFS_SENSUB_CORP__2024-10-02_424H.txt,102780,https://www.sec.gov/Archives/edgar/data/1347185/000119312524231284/d847362d424h.htm
0001193125-25-002125,119312525002125,AFS SENSUB CORP.,1347185,424H,2025-01-06,AFS_SENSUB_CORP__2025-01-06_424H.htm,AFS_SENSUB_CORP__2025-01-06_424H.txt,101333,https://www.sec.gov/Archives/edgar/data/1347185/000119312525002125/d909372d424h.htm
0001193125-25-109987,119312525109987,AFS SENSUB CORP.,1347185,424H,2025-05-01,AFS_SENSUB_CORP__2025-05-01_424H.htm,AFS_SENSUB_CORP__2025-05-01_424H.txt,110934,https://www.sec.gov/Archives/edgar/data/1347185/000119312525109987/d111258d424h.htm
0001193125-25-155549,119312525155549,AFS SENSUB CORP.,1347185,424H,2025-07-03,AFS_SENSUB_CORP__2025-07-03_424H.htm,AFS_SENSUB_CORP__2025-07-03_424H.txt,105416,https://www.sec.gov/Archives/edgar/data/1347185/000119312525155549/d918278d424h.htm
0001193125-25-248485,119312525248485,AFS SENSUB CORP.,1347185,424H,2025-10-23,AFS_SENSUB_CORP__2025-10-23_424H.htm,AFS_SENSUB_CORP__2025-10-23_424H.txt,94093,https://www.sec.gov/Archives/edgar/data/1347185/000119312525248485/d58892d424h.htm
0001193125-26-002340,119312526002340,AFS SENSUB CORP.,1347185,424H,2026-01-05,AFS_SENSUB_CORP__2026-01-05_424H.htm,AFS_SENSUB_CORP__2026-01-05_424H.txt,100727,https://www.sec.gov/Archives/edgar/data/1347185/000119312526002340/d45533d424h.htm
0001193125-26-142046,119312526142046,AFS SENSUB CORP.,1347185,424H,2026-04-03,AFS_SENSUB_CORP__2026-04-03_424H.htm,AFS_SENSUB_CORP__2026-04-03_424H.txt,91967,https://www.sec.gov/Archives/edgar/data/1347185/000119312526142046/d102168d424h.htm
0001193125-26-294517,119312526294517,AFS SENSUB CORP.,1347185,424H,2026-07-02,AFS_SENSUB_CORP__2026-07-02_424H.htm,AFS_SENSUB_CORP__2026-07-02_424H.txt,92754,https://www.sec.gov/Archives/edgar/data/1347185/000119312526294517/d12434d424h.htm
"htm_filename
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm    0001193125-24-092834
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm    0001193125-24-092825
Name: accession, dtype: str","htm_filename
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm    119312524092834
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm    119312524092825
Name: accession_clean, dtype: int64","htm_filename
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm    AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm    AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST
Name: entity_name, dtype: str","htm_filename
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm    1003509
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm    1003509
Name: cik, dtype: int64","htm_filename
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm    424H
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm    424H
Name: form, dtype: str","htm_filename
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm    2024-04-11
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm    2024-04-11
Name: filing_date, dtype: str",AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.txt,101300,"htm_filename
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm    https://www.sec.gov/Archives/edgar/data/100350...
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-04-11_424H.htm    https://www.sec.gov/Archives/edgar/data/100350...
Name: doc_url, dtype: str"
0001193125-24-177529,119312524177529,AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,1003509,424H,2024-07-11,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-07-11_424H.htm,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2024-07-11_424H.txt,101077,https://www.sec.gov/Archives/edgar/data/1003509/000119312524177529/d105166d424h.htm
0001193125-25-015957,119312525015957,AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST,1003509,424H,2025-01-30,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-01-30_424H.htm,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-01-30_424H.txt,101456,https://www.sec.gov/Archives/edgar/data/1003509/000119312525015957/d764677d424h.htm
"htm_filename
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm    0001193125-25-109170
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm    0001193125-25-109153
Name: accession, dtype: str","htm_filename
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm    119312525109170
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm    119312525109153
Name: accession_clean, dtype: int64","htm_filename
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm    AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm    AMERICAN EXPRESS CREDIT ACCOUNT MASTER TRUST
Name: entity_name, dtype: str","htm_filename
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm    1003509
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm    1003509
Name: cik, dtype: int64","htm_filename
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm    424H
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm    424H
Name: form, dtype: str","htm_filename
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm    2025-05-01
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm    2025-05-01
Name: filing_date, dtype: str",AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm,AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.txt,101361,"htm_filename
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm    https://www.sec.gov/Archives/edgar/data/100350...
AMERICAN_EXPRESS_CREDIT_ACCOUNT_MASTER_TRUST_2025-05-01_424H.htm    https://www.sec.gov/Archives/edgar/data/100350...
Name: doc_url, dtype: str"
